,id_distribuidor_linea_de_credito,monto_autorizado,tasa_minima,grupo_riesgo,riesgo,tasa_ponderada,perdida_ponderada,id_distribuidor,importe_depositado,marginal,perdida_cosecha_canasta
3096,169635,10000,132,Canasta 8,8,142.0,0.0,171499,47520.0,2951.223076923076,5.828371587611391
3097,170159,10000,115,Canasta 6,6,142.0,0.0,171499,47520.0,2951.223076923076,3.977055692691484
3098,170327,10000,115,Canasta 6,6,142.0,0.0,171499,47520.0,2951.223076923076,3.977055692691484
3099,169725,10000,147,Canasta 9,9,142.0,0.0,170745,56579.0,10508.82307692308,7.900051906317038
3100,169733,10000,127,Canasta 7,7,132.0,0.0,171088,56083.0,1613.9005128205133,5.243910975948551
3101,169735,10000,127,Canasta 7,7,147.0,0.0,171088,56083.0,1613.9005128205133,5.243910975948551
3102,169737,10000,132,Canasta 8,8,127.0,0.0,171088,56083.0,1613.9005128205133,5.828371587611391
3103,169742,10000,110,Canasta 4,4,131.28571428571428,0.0,171088,56083.0,1613.9005128205133,3.1160502391921283
3104,170273,10000,110,Canasta 4,4,131.73684210526315,0.0,171088,56083.0,1613.9005128205133,3.1160502391921283
3105,170274,10000,110,Canasta 4,4,147.0,0.0,171088,56083.0,1613.9005128205133,3.1160502391921283
3106,169757,0,0,Canasta 10,10,115.0,0.26385480723130517,170831,35806.0,-783.6046153846153,11.22693992153604
3107,169758,10000,132,Canasta 8,8,105.0,0.26385480723130517,170831,35806.0,-783.6046153846153,5.828371587611391
3108,169774,0,0,Canasta 10,10,115.0,0.26385480723130517,170831,35806.0,-783.6046153846153,11.22693992153604
3109,169918,10000,127,Canasta 7,7,105.0,0.26385480723130517,170831,35806.0,-783.6046153846153,5.243910975948551
3110,169978,10000,115,Canasta 6,6,105.0,0.26385480723130517,170831,35806.0,-783.6046153846153,3.977055692691484
3111,169769,10000,115,Canasta 6,6,141.99999999999997,0.0,169972,82122.0,14897.976923076916,3.977055692691484
3112,169789,10000,100,Canasta 2,2,143.92308786979723,0.0,178040,94320.0,14015.873384615392,1.8298129407071972
3113,169883,10000,110,Canasta 5,5,85.00000000000001,0.0,170851,100912.0,1696.4701098901091,3.374105053076616
3114,169884,10000,127,Canasta 7,7,100.0,0.0,170851,100912.0,1696.4701098901091,5.243910975948551
3115,169886,10000,110,Canasta 4,4,90.00000000000001,0.0,170851,100912.0,1696.4701098901091,3.1160502391921283
3116,169887,10000,132,Canasta 8,8,90.00000000000001,0.0,170851,100912.0,1696.4701098901091,5.828371587611391
3117,169889,10000,127,Canasta 7,7,100.0,0.0,170851,100912.0,1696.4701098901091,5.243910975948551
3118,170022,10000,115,Canasta 6,6,142.0,0.0,170851,100912.0,1696.4701098901091,3.977055692691484
3119,170149,10000,110,Canasta 3,3,75.0,0.0,170851,100912.0,1696.4701098901091,3.3220596517330434
3120,169920,10000,110,Canasta 5,5,147.0,0.0,169995,79857.0,7408.896923076922,3.374105053076616
3121,169921,10000,115,Canasta 6,6,142.0,0.0,169995,79857.0,7408.896923076922,3.977055692691484
3122,169927,10000,110,Canasta 3,3,142.0,0.0,170128,75200.24,12206.986153846156,3.3220596517330434
3123,169942,10000,127,Canasta 7,7,142.0,0.0,170837,47580.0,1782.7338461538457,5.243910975948551
3124,169951,10000,127,Canasta 7,7,142.0,0.0,170837,47580.0,1782.7338461538457,5.243910975948551
3125,169963,10000,132,Canasta 8,8,142.0,0.0,170837,47580.0,1782.7338461538457,5.828371587611391
3126,170021,10000,132,Canasta 8,8,142.0,0.0,170837,47580.0,1782.7338461538457,5.828371587611391
3127,170374,10000,115,Canasta 6,6,142.0,0.0,170837,47580.0,1782.7338461538457,3.977055692691484
3128,170043,10000,115,Canasta 6,6,142.0,0.0,171040,47504.0,2945.889743589743,3.977055692691484
3129,170044,10000,110,Canasta 4,4,142.0,0.0,171040,47504.0,2945.889743589743,3.1160502391921283
3130,170051,10000,110,Canasta 3,3,142.0,0.0,171040,47504.0,2945.889743589743,3.3220596517330434
3131,170052,10000,110,Canasta 5,5,110.0,0.0,170511,54096.0,1282.7338461538457,3.374105053076616
3132,170053,10000,110,Canasta 5,5,110.0,0.0,170511,54096.0,1282.7338461538457,3.374105053076616
3133,170055,10000,115,Canasta 6,6,148.56257568450067,0.0,170511,54096.0,1282.7338461538457,3.977055692691484
3134,170057,10000,110,Canasta 5,5,110.0,0.0,170511,54096.0,1282.7338461538457,3.374105053076616
3135,170060,10000,132,Canasta 8,8,110.0,0.0,170511,54096.0,1282.7338461538457,5.828371587611391
3136,170135,10000,110,Canasta 3,3,110.0,0.0,170511,54096.0,1282.7338461538457,3.3220596517330434
3137,170059,10000,110,Canasta 4,4,144.33334399995735,0.0,170395,141754.0,11022.10692307692,3.1160502391921283
3138,170253,10000,110,Canasta 3,3,144.33334399995735,0.0,170395,141754.0,11022.10692307692,3.3220596517330434
3139,170064,10000,110,Canasta 5,5,142.0,0.0,170724,41100.0,1544.4261538461549,3.374105053076616
3140,170066,10000,132,Canasta 8,8,142.0,0.0,170724,41100.0,1544.4261538461549,5.828371587611391
3141,170067,10000,115,Canasta 6,6,142.0,0.0,170724,41100.0,1544.4261538461549,3.977055692691484
3142,170069,10000,110,Canasta 5,5,142.0,0.0,170724,41100.0,1544.4261538461549,3.374105053076616
3143,170070,10000,127,Canasta 7,7,142.0,0.0,170724,41100.0,1544.4261538461549,5.243910975948551
3144,170065,10000,110,Canasta 4,4,147.0,0.10265456411901164,173655,67862.0,1542.4806153846162,3.1160502391921283
3145,171716,10000,147,Canasta 9,9,142.0,0.10265456411901164,173655,67862.0,1542.4806153846162,7.900051906317038
3146,171844,10000,110,Canasta 5,5,142.0,0.10265456411901164,173655,67862.0,1542.4806153846162,3.374105053076616
3147,171845,10000,115,Canasta 6,6,142.0,0.10265456411901164,173655,67862.0,1542.4806153846162,3.977055692691484
3148,172047,10000,115,Canasta 6,6,142.0,0.10265456411901164,173655,67862.0,1542.4806153846162,3.977055692691484
3149,170231,10000,127,Canasta 7,7,137.73913638942693,0.0,170647,65606.0,6065.988461538462,5.243910975948551
3150,170233,10000,115,Canasta 6,6,136.00000160000064,0.0,170647,65606.0,6065.988461538462,3.977055692691484
3151,170278,0,0,Canasta 10,10,142.0,0.0,170984,63008.0,3883.1205128205133,11.22693992153604
3152,170279,10000,147,Canasta 9,9,161.47176566811274,0.0,170984,63008.0,3883.1205128205133,7.900051906317038
3153,170282,10000,132,Canasta 8,8,138.9999992000003,0.0,170984,63008.0,3883.1205128205133,5.828371587611391
3154,170330,10000,132,Canasta 8,8,152.73468272903852,0.0,172547,52337.0,3146.633333333333,5.828371587611391
3155,170335,10000,127,Canasta 7,7,132.0,0.0,172547,52337.0,3146.633333333333,5.243910975948551
3156,171662,10000,127,Canasta 7,7,159.86182455655222,0.0,172547,52337.0,3146.633333333333,5.243910975948551
