id_distribuidor,monto_autorizado,tasa_minima,probabilidad,grupo_riesgo
160967,0,0,0.3557181358,Canasta 1
160969,0,0,0.5360286832,Canasta 2
160972,0,0,0.156019181,Canasta 1
160986,10000,147,0.8114695549,Canasta 3
160991,0,0,0.7526110411,Canasta 2
160997,0,0,0.4103021324,Canasta 1
161000,7000,142,0.9473209977,Canasta 5
161001,10000,127,0.9783015251,Canasta 6
161015,8000,142,0.9150454998,Canasta 4
161028,10000,127,0.96831882,Canasta 6
161044,0,0,0.2925666869,Canasta 1
161045,0,0,0.5160192847,Canasta 2
161046,0,0,0.250020802,Canasta 1
161047,0,0,0.1589761227,Canasta 1
161049,10000,142,0.8475784063,Canasta 4
161050,10000,142,0.8912230134,Canasta 4
161051,0,0,0.659830451,Canasta 2
161060,0,0,0.5155532956,Canasta 2
161078,0,0,0.7567425966,Canasta 3
161080,0,0,0.610530436,Canasta 2
161081,10000,127,0.9699813128,Canasta 6
161083,0,0,0.7925682664,Canasta 3
161087,10000,142,0.9593194723,Canasta 5
161089,0,0,0.2501305342,Canasta 1
161091,10000,142,0.9401273727,Canasta 5
161102,10000,147,0.8382811546,Canasta 3
161111,10000,127,0.9700573683,Canasta 6
161115,0,0,0.2800565958,Canasta 1
161144,0,0,0.4539462924,Canasta 1
161178,0,0,0.4124164283,Canasta 1
161202,10000,142,0.9555997252,Canasta 5
161213,0,0,0.4926774502,Canasta 1
161222,0,0,0.3565378189,Canasta 1
161225,0,0,0.6937779188,Canasta 2
161227,0,0,0.5656459332,Canasta 2
161239,9000,142,0.9238333106,Canasta 4
161249,0,0,0.5848639607,Canasta 2
161297,0,0,0.2517077625,Canasta 1
161301,10000,142,0.9340276718,Canasta 4
161371,0,0,0.3059271872,Canasta 1
161374,9000,147,0.8272752166,Canasta 3
161375,0,0,0.2946051061,Canasta 1
161385,0,0,0.6245698929,Canasta 2
161386,10000,142,0.8494483232,Canasta 4
161387,10000,127,0.9683158994,Canasta 6
161392,0,0,0.8368962407,Canasta 3
161394,9000,127,0.9848188162,Canasta 6
161440,10000,142,0.8713102341,Canasta 4
161443,0,0,0.6224113107,Canasta 2
161445,10000,142,0.8553632498,Canasta 4
161462,10000,142,0.9453699589,Canasta 5
161467,10000,142,0.8730482459,Canasta 4
161484,10000,142,0.8825566173,Canasta 4
161487,0,0,0.3523817658,Canasta 1
161506,10000,142,0.9643186331,Canasta 5
161519,0,0,0.6759597659,Canasta 2
161522,0,0,0.4998211265,Canasta 1
