APPLICANT_ID,INGRESO_MENSUAL,GASTOS_FAMILIARES,OTROS_INGRESOS,INGRESO_NETO,DEPENDIENTES,VENTAS,EDAD,MONTO_MENSUAL_VENTA,COMPRAS,DELEGACION,DELEGACION_NEGOCIO,ESCOLARIDAD,ESTADO,ESTADO_CIVIL,ESTADO_NEGOCIO,SEXO,SUCURSAL,TIPO_NEGOCIO,TIPO_VIVIENDA
161911,7640,1400,2900,7640,2,1600,31,6400,400,ATLAUTLA,ATLAUTLA,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,AMECAMECA,BELLEZA/SALON/ESTETICA/BARBERIA,PROPIA
163454,8400,1900,1500,8400,2,4500,32,18000,1800,NEZAHUALCOYOTL,NEZAHUALCOYOTL,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,JOYERIA/BISUTERIA/FUNDICION,FAMILIAR
162601,6304,700,1200,6304,0,4000,61,16000,2000,CHICOLOAPAN,CHICOLOAPAN,PRIMARIA,MEXICO,VIUDO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ALIMENTOS,RENTADA
162609,9872,1500,2500,9872,2,5000,46,20000,2500,CHICOLOAPAN,CHICOLOAPAN,PRIMARIA,MEXICO,CASADO,MEXICO,FEMENINO,CHIMALHUACAN_2,PANADERIA,RENTADA
162859,5856,1300,1800,5856,2,2500,35,10000,1000,CHICOLOAPAN,CHICOLOAPAN,PRIMARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,CHIMALHUACAN_2,ABARROTES/MISCELANEAS/PERECEDEROS,RENTADA
162923,4800,1200,2000,4800,2,2000,29,8000,1000,CHICOLOAPAN,CHICOLOAPAN,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ALIMENTOS,RENTADA
163038,11600,1200,1500,11600,1,6000,40,24000,3000,CHICOLOAPAN,CHICOLOAPAN,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,MASCULINO,CHIMALHUACAN_2,VENTA_DE_ALIMENTOS,FAMILIAR
163883,6000,850,2300,10200,0,1500,22,6000,400,TONALA,TONALA,PRIMARIA,JALISCO,UNION LIBRE,JALISCO,FEMENINO,TONALA,PAPELERIA,FAMILIAR
163468,9348,1300,1500,9348,1,5000,29,20000,1500,CHICOLOAPAN,CHICOLOAPAN,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_CELULARES/TECNOLOGIA,FAMILIAR
163486,9808,1400,600,9808,1,5500,32,22000,1000,TLAHUAC,TLAHUAC,SECUNDARIA,DISTRITO_FEDERAL,SOLTERO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,FABRICA/TALLER/ELABORACION/REPARACION,FAMILIAR
163489,9008,1000,600,9008,0,6000,53,24000,2000,TLAHUAC,TLAHUAC,SECUNDARIA,DISTRITO_FEDERAL,CASADO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,PROPIA
163725,18800,1400,2000,18800,2,8000,36,32000,3000,IXTAPALUCA,IXTAPALUCA,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,IXTAPALUCA,TLAPALERIA/FERRETERIA/MATERIALES_DE_CONSTRUCCION,PROPIA
163754,2000,1400,2400,2000,1,3000,26,12000,1000,IXTAPALUCA,IXTAPALUCA,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,IXTAPALUCA,VENTA_DE_ALIMENTOS,PROPIA
163850,10272,1250,3200,10272,0,5000,51,20000,1400,IXTAPALUCA,IXTAPALUCA,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,IXTAPALUCA,BELLEZA/SALON/ESTETICA/BARBERIA,PROPIA
163488,8920,1300,700,8920,1,6750,29,27000,2200,TLAHUAC,TLAHUAC,BACHILLERATO,DISTRITO_FEDERAL,SOLTERO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,VENTA_DE_ALIMENTOS,FAMILIAR
163491,6200,1350,1400,6200,2,3000,39,12000,1000,TLAHUAC,TLAHUAC,SECUNDARIA,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,VENTA_DE_ALIMENTOS,FAMILIAR
163577,9440,2000,3000,9440,3,6000,35,24000,1500,CHIMALHUACAN,CHIMALHUACAN,SECUNDARIA,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,JOYERIA/BISUTERIA/FUNDICION,FAMILIAR
