ID DIST.,probs,grupo
30488,16.67,9
30503,67.5,3
30521,53.67,5
30616,99.2,1
30691,76.52,2
30828,99.7,1
30963,61.69,4
31037,7.8500000000000005,10
31045,99.2,1
31210,8.55,10
31220,53.27,5
31275,70.75,3
31333,17.17,9
31381,34.33,7
31450,37.82,6
31465,99.3,1
31467,99.7,1
31501,99.5,1
31555,99.5,1
31566,79.69,2
31587,62.489999999999995,4
31592,49.12,5
31595,98.9,1
31597,52.67,5
31633,98.7,1
31686,98.5,1
31698,69.2,3
31711,99.8,1
31714,22.86,8
31717,98.6,1
31741,80.69,2
31755,44.05,6
31773,62.29,4
31785,7.950000000000001,10
31827,99.2,1
31852,76.09,2
31864,16.970000000000002,9
31871,60.2,4
31880,16.970000000000002,9
31905,52.11,5
31918,99.4,1
31959,99.2,1
31965,99.0,1
32019,98.7,1
32032,53.07,5
32101,71.26,3
32117,99.9,1
32235,99.8,1
32244,16.87,9
32285,80.89,2
32287,66.54,3
32292,17.57,9
32338,55.94,4
32444,99.3,1
32447,52.870000000000005,5
32457,99.3,1
32468,99.4,1
32474,51.91,5
32585,7.750000000000001,10
32692,99.5,1
32764,68.3,3
32794,98.9,1
32813,16.770000000000003,9
32820,62.79,4
32840,99.8,1
32889,80.29,2
32914,98.6,1
32932,99.9,1
32933,99.7,1
32935,98.7,1
32940,99.7,1
32943,98.9,1
33006,99.0,1
33023,17.67,9
33032,98.8,1
33050,99.9,1
33058,57.44,4
33112,53.77,5
33127,99.4,1
33167,99.7,1
33186,17.770000000000003,9
33187,44.25,6
33188,16.970000000000002,9
33198,55.04,4
33217,16.87,9
33272,61.79,4
33322,99.1,1
33335,99.4,1
33382,99.3,1
33428,61.82,4
33443,17.470000000000002,9
33554,99.8,1
33744,74.82,2
33821,98.6,1
33841,98.6,1
34029,48.88,5
34037,17.270000000000003,9
34052,71.96000000000001,3
34117,99.4,1
34179,99.6,1
34198,98.8,1
34199,98.8,1
34200,16.87,9
34202,99.1,1
34302,99.7,1
34335,53.17,5
34375,98.6,1
34421,98.6,1
34432,63.089999999999996,4
34434,38.87,6
34436,49.04,5
34437,20.48,8
34442,48.67,5
34449,71.56,3
34480,20.6,8
34487,99.2,1
34488,99.2,1
34493,71.96,3
34496,43.81,6
34502,99.1,1
34519,98.9,1
34554,99.4,1
34561,45.55,5
34569,53.77,5
34574,98.8,1
34582,75.05,2
34649,98.9,1
34703,99.4,1
34705,99.0,1
34744,99.6,1
34770,17.67,9
34787,27.08,8
34794,67.3,3
34796,99.4,1
34818,98.7,1
34819,99.4,1
34833,99.2,1
34860,17.67,9
34865,59.88,4
34866,53.57,5
34867,99.0,1
34900,99.1,1
35076,99.4,1
35098,98.7,1
35139,99.8,1
35150,20.48,8
