,id_distribuidor,probs,grupo,cosecha_canasta
10105,132251,0.991,1,1.54
10106,132264,0.4767,5,10.69
10107,132266,0.992,1,1.54
10108,132274,0.7064,3,4.97
10109,132290,0.2554,8,12.68
10110,132303,0.7656000000000001,2,3.4
10111,132304,0.6662,3,4.97
10112,132305,0.4635,5,10.69
10113,132306,0.5557,4,7.38
10114,132308,0.46,5,10.69
10115,132309,0.6208,4,7.38
10116,132313,0.6361,3,4.97
10117,132315,0.7927,2,3.4
10118,132319,0.6627,3,4.97
10119,132325,0.3792999999999999,6,11.87
10120,132334,0.2805999999999999,7,12.35
10121,132338,0.6548,3,4.97
10122,132354,0.985,1,1.54
10123,132361,0.996,1,1.54
10124,132382,0.986,1,1.54
10125,132394,0.985,1,1.54
10126,132397,0.993,1,1.54
10127,132425,0.987,1,1.54
10128,132434,0.5178,5,10.69
10129,132435,0.4144,6,11.87
10130,132440,0.5049,5,10.69
10131,132442,0.3602,7,12.35
10132,132444,0.7574,2,3.4
10133,132446,0.4772,5,10.69
10134,132447,0.5648,4,7.38
10135,132452,0.3323,7,12.35
10136,132458,0.2107,8,12.68
10137,132460,0.2407,8,12.68
10138,132466,0.998,1,1.54
10139,132476,0.986,1,1.54
10140,132482,0.986,1,1.54
10141,132487,0.7772,2,3.4
10142,132492,0.3848,6,11.87
10143,132493,0.615,4,7.38
10144,132494,0.997,1,1.54
10145,132501,0.2343,8,12.68
10146,132513,0.0885,10,22.69
10147,132519,0.988,1,1.54
10148,132529,0.6328,3,4.97
10149,132530,0.996,1,1.54
10150,132538,0.997,1,1.54
10151,132547,0.6843,3,4.97
10152,132563,0.7539,2,3.4
10153,132564,0.485,5,10.69
10154,132565,0.6017,4,7.38
10155,132566,0.7293000000000001,2,3.4
10156,132569,0.998,1,1.54
10157,132577,0.993,1,1.54
10158,132592,0.2161,8,12.68
10159,132597,0.4733,5,10.69
10160,132598,0.605,4,7.38
10161,132599,0.6977,3,4.97
10162,132601,0.992,1,1.54
10163,132612,0.5367000000000001,5,10.69
10164,132626,0.7404000000000001,2,3.4
10165,132627,0.552,4,7.38
10166,132628,0.7736,2,3.4
10167,132632,0.988,1,1.54
10168,132649,0.4347999999999999,6,11.87
10169,132651,0.1687,9,20.33
10170,132666,0.989,1,1.54
10171,132679,0.997,1,1.54
10172,132692,0.6118,4,7.38
10173,132694,0.989,1,1.54
10174,132704,0.2035,8,12.68
10175,132716,0.6463,3,4.97
10176,132724,0.996,1,1.54
10177,132735,0.989,1,1.54
10178,132743,0.991,1,1.54
10179,132750,0.7626999999999999,2,3.4
10180,132752,0.3772999999999999,6,11.87
10181,132760,0.7828,2,3.4
10182,132763,0.3494,7,12.35
10183,132765,0.5722999999999999,4,7.38
10184,132766,0.3999,6,11.87
10185,132767,0.7421,2,3.4
10186,132773,0.4785999999999999,5,10.69
10187,132775,0.2991,7,12.35
10188,132776,0.6134000000000001,4,7.38
10189,132777,0.7384999999999999,2,3.4
10190,132778,0.4286,6,11.87
10191,132779,0.2779,7,12.35
10192,132784,0.997,1,1.54
10193,132792,0.0845,10,22.69
10194,132793,0.4139,6,11.87
10195,132794,0.988,1,1.54
10196,132810,0.2274,8,12.68
10197,132814,0.99,1,1.54
10198,132827,0.992,1,1.54
10199,132835,0.985,1,1.54
10200,132849,0.4729,5,10.69
10201,132888,0.996,1,1.54
10202,132900,0.994,1,1.54
10203,132906,0.992,1,1.54
10204,132915,0.2299,8,12.68
10205,132916,0.7423000000000001,2,3.4
10206,132917,0.7631999999999999,2,3.4
10207,132918,0.6567000000000001,3,4.97
10208,132925,0.7384999999999999,2,3.4
10209,132927,0.992,1,1.54
10210,132928,0.3051999999999999,7,12.35
10211,132929,0.5179,5,10.69
10212,132930,0.3123,7,12.35
10213,132931,0.2789999999999999,7,12.35
10214,132933,0.4915,5,10.69
10215,132934,0.7773,2,3.4
10216,132943,0.996,1,1.54
10217,132952,0.3616,6,11.87
10218,132957,0.6268,4,7.38
10219,132959,0.6629999999999999,3,4.97
10220,132971,0.4069,6,11.87
10221,132979,0.994,1,1.54
10222,132997,0.985,1,1.54
10223,133007,0.3524,7,12.35
10224,133014,0.3845,6,11.87
10225,133015,0.5781000000000001,4,7.38
10226,133017,0.5185,5,10.69
10227,133024,0.995,1,1.54
10228,133041,0.988,1,1.54
10229,133048,0.6517000000000001,3,4.97
10230,133053,0.5693,4,7.38
10231,133055,0.7426,2,3.4
10232,133056,0.4196999999999999,6,11.87
10233,133065,0.6388,3,4.97
10234,133066,0.7939,2,3.4
10235,133067,0.999,1,1.54
10236,133085,0.3707,6,11.87
10237,133086,0.3907,6,11.87
10238,133088,0.2475,8,12.68
10239,133101,0.987,1,1.54
10240,133107,0.997,1,1.54
10241,133111,0.5281,5,10.69
10242,133112,0.5317000000000001,5,10.69
10243,133123,0.3564,7,12.35
10244,133125,0.618,4,7.38
10245,133126,0.3229999999999999,7,12.35
10246,133135,0.2557999999999999,8,12.68
10247,133137,0.5476,4,7.38
10248,133141,0.3591,7,12.35
10249,133143,0.2094,8,12.68
10250,133148,0.6352,3,4.97
10251,133150,0.997,1,1.54
10252,133154,0.4228,6,11.87
10253,133157,0.7031999999999999,3,4.97
10254,133158,0.3749,6,11.87
10255,133160,0.6283,4,7.38
10256,133161,0.2478999999999999,8,12.68
10257,133162,0.7837000000000001,2,3.4
10258,133163,0.3171,7,12.35
10259,133164,0.2796,7,12.35
10260,133165,0.5071,5,10.69
10261,133167,0.7424,2,3.4
10262,133168,0.4284,6,11.87
10263,133171,0.1797,9,20.33
10264,133180,0.2908,7,12.35
10265,133181,0.987,1,1.54
10266,133191,0.992,1,1.54
10267,133201,0.4754,5,10.69
10268,133203,0.4000999999999999,6,11.87
10269,133205,0.4764,5,10.69
10270,133206,0.3853999999999999,6,11.87
10271,133209,0.5379999999999999,5,10.69
10272,133212,0.3378,7,12.35
10273,133216,0.6977,3,4.97
10274,133217,0.2448,8,12.68
10275,133229,0.2025,8,12.68
10276,133233,0.3339,7,12.35
10277,133234,0.491,5,10.69
10278,133237,0.985,1,1.54
10279,133253,0.7073999999999999,3,4.97
10280,133255,0.5215,5,10.69
10281,133256,0.6524,3,4.97
10282,133257,0.5586,4,7.38
10283,133259,0.2014999999999999,8,12.68
10284,133261,0.7120000000000001,3,4.97
10285,133262,0.3295,7,12.35
10286,133263,0.54,5,10.69
10287,133264,0.4747,5,10.69
10288,133265,0.6299,4,7.38
10289,133267,0.5285,5,10.69
